Run_num,Dataset,Method,Percentage,accuracy_un_norm,accuracy_norm,precision,recall,f1_score_micro,f1_score_macro,test_set_size,time
1,blogcatalog,Node2Vec,90,380,0.3682170543,0.3910427215,0.3682170543,0.3682170543,0.2389800783,1032,6873.521967
2,blogcatalog,Node2Vec,5,2599,0.2652852914,0.2796096486,0.2652852914,0.2652852914,0.1349950786,9797,6850.519775
2,blogcatalog,Node2Vec,10,2707,0.2916711561,0.2982071459,0.2916711561,0.2916711561,0.1718932494,9281,6850.519775
2,blogcatalog,Node2Vec,20,2686,0.3255757576,0.3120861483,0.3255757576,0.3255757576,0.1946389798,8250,6850.519775
2,blogcatalog,Node2Vec,30,2455,0.3400748026,0.3317247015,0.3400748026,0.3400748026,0.2147644274,7219,6850.519775
2,blogcatalog,Node2Vec,40,2099,0.3392049127,0.3237665054,0.3392049127,0.3392049127,0.2138629369,6188,6850.519775
2,blogcatalog,Node2Vec,50,1795,0.3481380915,0.3242825773,0.3481380915,0.3481380915,0.2279270904,5156,6850.519775
2,blogcatalog,Node2Vec,60,1468,0.3558787879,0.3415642913,0.3558787879,0.3558787879,0.2352854715,4125,6850.519775
2,blogcatalog,Node2Vec,70,1140,0.3684550743,0.3443339749,0.3684550743,0.3684550743,0.247031868,3094,6850.519775
2,blogcatalog,Node2Vec,80,771,0.3737275812,0.3739620131,0.3737275812,0.3737275812,0.2440255129,2063,6850.519775
2,blogcatalog,Node2Vec,90,393,0.3808139535,0.3727979102,0.3808139535,0.3808139535,0.2443101804,1032,6850.519775
3,blogcatalog,Node2Vec,5,2622,0.2676329489,0.3061784817,0.2676329489,0.2676329489,0.1359445539,9797,6813.489407
3,blogcatalog,Node2Vec,10,2697,0.290593686,0.2937018471,0.290593686,0.290593686,0.1686969399,9281,6813.489407
3,blogcatalog,Node2Vec,20,2585,0.3133333333,0.292404159,0.3133333333,0.3133333333,0.1862666581,8250,6813.489407
3,blogcatalog,Node2Vec,30,2373,0.3287158886,0.3222428545,0.3287158886,0.3287158886,0.2075169873,7219,6813.489407
3,blogcatalog,Node2Vec,40,2136,0.3451842275,0.3195442101,0.3451842275,0.3451842275,0.2185262526,6188,6813.489407
3,blogcatalog,Node2Vec,50,1821,0.3531807603,0.3284618038,0.3531807603,0.3531807603,0.2180071145,5156,6813.489407
3,blogcatalog,Node2Vec,60,1458,0.3534545455,0.3371305254,0.3534545455,0.3534545455,0.2285652629,4125,6813.489407
3,blogcatalog,Node2Vec,70,1068,0.3451842275,0.3241512645,0.3451842275,0.3451842275,0.2448091977,3094,6813.489407
3,blogcatalog,Node2Vec,80,750,0.3635482307,0.3380083981,0.3635482307,0.3635482307,0.2345690859,2063,6813.489407
3,blogcatalog,Node2Vec,90,370,0.3585271318,0.3385007426,0.3585271318,0.3585271318,0.235478877,1032,6813.489407
4,blogcatalog,Node2Vec,5,2613,0.2667143003,0.2901809547,0.2667143003,0.2667143003,0.1268730493,9797,6728.403958
4,blogcatalog,Node2Vec,10,2631,0.2834823834,0.2905629533,0.2834823834,0.2834823834,0.1680127874,9281,6728.403958
4,blogcatalog,Node2Vec,20,2632,0.319030303,0.3057208297,0.319030303,0.319030303,0.1900669121,8250,6728.403958
4,blogcatalog,Node2Vec,30,2379,0.3295470287,0.33525914,0.3295470287,0.3295470287,0.2058339369,7219,6728.403958
4,blogcatalog,Node2Vec,40,2183,0.3527795734,0.3411093128,0.3527795734,0.3527795734,0.2199672969,6188,6728.403958
4,blogcatalog,Node2Vec,50,1799,0.3489138867,0.3218370968,0.3489138867,0.3489138867,0.2237437461,5156,6728.403958
4,blogcatalog,Node2Vec,60,1466,0.3553939394,0.3387991197,0.3553939394,0.3553939394,0.23397969,4125,6728.403958
4,blogcatalog,Node2Vec,70,1157,0.3739495798,0.3631809146,0.3739495798,0.3739495798,0.2395905398,3094,6728.403958
4,blogcatalog,Node2Vec,80,747,0.3620940378,0.3395517881,0.3620940378,0.3620940378,0.2369186792,2063,6728.403958
4,blogcatalog,Node2Vec,90,372,0.3604651163,0.3692273587,0.3604651163,0.3604651163,0.2363642549,1032,6728.403958
0,homo_sapiens,Node2Vec,5,396,0.1071428571,0.1593135851,0.1071428571,0.1071428571,0.05009061881,3696,206.4993615
0,homo_sapiens,Node2Vec,10,407,0.1162524993,0.1280207279,0.1162524993,0.1162524993,0.06149381135,3501,206.4993615
0,homo_sapiens,Node2Vec,20,425,0.1365681234,0.1350590379,0.1365681234,0.1365681234,0.0787874955,3112,206.4993615
0,homo_sapiens,Node2Vec,30,404,0.148365773,0.1390148879,0.148365773,0.148365773,0.08947264264,2723,206.4993615
0,homo_sapiens,Node2Vec,40,348,0.1491002571,0.1326024724,0.1491002571,0.1491002571,0.09828204822,2334,206.4993615
0,homo_sapiens,Node2Vec,50,298,0.1532133676,0.146001504,0.1532133676,0.1532133676,0.09798992152,1945,206.4993615
0,homo_sapiens,Node2Vec,60,250,0.1606683805,0.150586064,0.1606683805,0.1606683805,0.1023717769,1556,206.4993615
0,homo_sapiens,Node2Vec,70,179,0.1533847472,0.1365304953,0.1533847472,0.1533847472,0.09858925421,1167,206.4993615
0,homo_sapiens,Node2Vec,80,132,0.1696658098,0.1549888043,0.1696658098,0.1696658098,0.1131345843,778,206.4993615
0,homo_sapiens,Node2Vec,90,77,0.1979434447,0.2056341485,0.1979434447,0.1979434447,0.1410383869,389,206.4993615
1,homo_sapiens,Node2Vec,5,374,0.1011904762,0.1681544181,0.1011904762,0.1011904762,0.05335188684,3696,206.4543774
1,homo_sapiens,Node2Vec,10,395,0.1128249072,0.1588567734,0.1128249072,0.1128249072,0.07434167193,3501,206.4543774
1,homo_sapiens,Node2Vec,20,397,0.1275706941,0.113689678,0.1275706941,0.1275706941,0.08305292093,3112,206.4543774
1,homo_sapiens,Node2Vec,30,376,0.1380829967,0.1281543364,0.1380829967,0.1380829967,0.09479402106,2723,206.4543774
1,homo_sapiens,Node2Vec,40,337,0.1443873179,0.1386274314,0.1443873179,0.1443873179,0.09348261775,2334,206.4543774
1,homo_sapiens,Node2Vec,50,293,0.1506426735,0.1417499364,0.1506426735,0.1506426735,0.1029334579,1945,206.4543774
